batter,runs,balls_faced,strike_rate,batting_tip
V Kohli,8014,6236,128.51186658114176,Good performance
S Dhawan,6769,5483,123.45431333211745,Good performance
RG Sharma,6630,5183,127.91819409608335,Good performance
DA Warner,6567,4849,135.4299855640338,Good performance
SK Raina,5536,4177,132.53531242518554,Good performance
MS Dhoni,5243,3947,132.8350646060299,Good performance
AB de Villiers,5181,3487,148.58044164037855,Good performance
CH Gayle,4997,3516,142.1217292377702,Good performance
RV Uthappa,4954,3927,126.15227909345556,Good performance
KD Karthik,4843,3687,131.35340385136968,Good performance
